Monark;Foedt;Doed;Slaegt;Regerings_start;Regering_slut;Regeringsperioder;Anden_periodestart;Anden_periode_slut;Regerings_aar;Gift_med;Foedt_1;Doed_2;Kone_2;Foedt_3;Doed_4;Kone_3;Foedt_5;Doed_6
Christian 4. ;1577;1648;Den oldenborgske slaegt;1588;1648;1;NA;NA;60;Anna Cathrine af Brandenburg;1575;1612;Kirsten Munk;1598;1658;NA;NA;NA
Frederik 3.;1609;1670;Den oldenborgske slaegt;1648;1670;1;NA;NA;22;Sophie Amalie af Braunschweig-Lueneburg;1628;1685;NA;NA;NA;NA;NA;NA
Christian 5.;1646;1699;Den oldenborgske slaegt;1670;1699;1;NA;NA;29;Charlotte Amalie af Hessen-Kassel;1650;1714;NA;NA;NA;NA;NA;NA
Frederik 4.;1671;1730;Den oldenborgske slaegt;1699;1730;1;NA;NA;31;Louise af Mecklenburg-Guestrow;1667;1721;Anna Sophie Reventlow  ;1693;1743;NA;NA;NA
Christian 6.;1699;1746;Den oldenborgske slaegt;1730;1746;1;NA;NA;16;Sophie Magdalene af Brandenburg-Kulmbach;1700;1770;NA;NA;NA;NA;NA;NA
Frederik 5.;1723;1766;Den oldenborgske slaegt;1746;1766;1;NA;NA;20;Louise af England;1724;1751;Juliane Marie af Braunschweig-Wolfenbuettel ;1729;1796;NA;NA;NA
Christian 7.;1749;1808;Den oldenborgske slaegt;1766;1808;1;NA;NA;42;Caroline Mathilde af Storbritannien;1751;1775;NA;NA;NA;NA;NA;NA
Frederik 6.;1768;1839;Den oldenborgske slaegt;1808;1839;1;NA;NA;31;Marie Sophie Frederikke af Hessen-Kassel;1767;1852;NA;NA;NA;NA;NA;NA
Christian 8.;1786;1848;Den oldenborgske slaegt;1839;1848;1;NA;NA;9;Charlotte Frederikke af Mecklenburg-Schwerin;1784;1840;Caroline Amalie af Augustenborg  ;1796;1881;NA;NA;NA
Frederik 7.;1808;1863;Den oldenborgske slaegt;1848;1863;1;NA;NA;15;Vilhelmine af Danmark;1808;1891;Mariane af Mecklenburg-Strelitz;1821;1876; Louise Rasmussen (Grevinde Danner);1815;1874
Christian 9.;1818;1906;Den gluecksborgske slaegt;1863;1906;1;NA;NA;43;Louise af Hessen-Kassel;1817;1898;NA;NA;NA;NA;NA;NA
Frederik 8.;1843;1912;Den gluecksborgske slaegt;1906;1912;1;NA;NA;6;Lovisa af Sverige-Norge;1851;1926;NA;NA;NA;NA;NA;NA
Christian 10.;1870;1947;Den gluecksborgske slaegt;1912;1947;1;NA;NA;35;Alexandrine af Mecklenburg-Schwerin;1879;1952;NA;NA;NA;NA;NA;NA
Frederik 9.;1899;1972;Den gluecksborgske slaegt;1947;1972;1;NA;NA;25;Ingrid af Sverige ;1910;2000;NA;NA;NA;NA;NA;NA
Margrethe 2. ;1940;NA;Den gluecksborgske slaegt;1972;2024;1;NA;NA;52;Henrik, H.K.H. Prinsgemalen;1934;2018;NA;NA;NA;NA;NA;NA
Frederik 10.;1968;NA;Den gluecksborgske slaegt;2024;NA;1;NA;NA;NA;Mary Elizabeth ;1972;NA;NA;NA;NA;NA;NA;NA
